Groupe	Genre	HabitudeTravaillerEnsemble	DifficulteTrouverRoche	QualificationTravailEquipe	BonneCommunication	PerformancePerso	PerformanceCoeq	EquilibreParole	EquilibreQuestions	BonneEquipe	HabitudeGuider	HabitudeEtreGuider	SensOrientation	GeneVisionCoeq	PdCs	Module	Role	ChronoSec	TrouveRoche
22	Femme	4	2	BonneAmbiance,Dynamique	OUI	3	4	Equitable	Equitable	OUI	NON	NON	Ignorer	NON	2	M2	Astro	592	OUI
22	Homme	1	2	LentementMaisVigilant,BonneAmbiance	OUI	3	4	Equitable	Equitable	OUI	NON	NON	NON	OUI	4	M2	CapCom	592	OUI
23	Femme	4	3	LentementMaisVigilant	OUI	3	4	Equitable	Equitable	OUI	Parfois	NON	Ignorer	NON	4	M1	Astro	638	OUI
23	Femme	2	4	Chaotique,BonneAmbiance	OUI	2	3	Equitable	Moi	OUI	NON	NON	NON	NON	4	M1	CapCom	638	OUI
24	Homme	1	3	LentementMaisVigilant,Stressant	OUI	3	3	Moi	Moi	OUI	NON	NON	OUI	NON	2	M2	CapCom	704	OUI
24	Femme	1	3	LentementMaisVigilant	NON	3	4	Equitable	Coéquipier	Ignorer	OUI	OUI	NON	NON	2	M2	Astro	704	OUI
25	Femme	1	1	Efficace,Méthodique	OUI	5	5	Moi	Equitable	OUI	OUI	Parfois	OUI	NON	5	M2	CapCom	352	OUI
25	Homme	3	1	Efficace,Méthodique	OUI	4	4	Equitable	Moi	OUI	NON	NON	OUI	NON	4	M2	Astro	352	OUI
26	Femme	1	2	Chaotique,BonneAmbiance	OUI	3	4	Equitable	Coéquipier	OUI	NON	NON	NON	NON	4	M1	CapCom	525	OUI
26	Femme	2	2	Efficace	OUI	4	5	Coéquipier	Moi	OUI	Parfois	Parfois	NON	UnPeu	5	M1	Astro	525	OUI
27	Femme	4	4	Chaotique,BonneAmbiance	NON	1	2	Moi	Moi	NON	OUI	NON	NON	NON	2	M1	CapCom	907	NON
27	Femme	5	4	Chaotique	OUI	1	4	Coéquipier	Coéquipier	NON	NON	NON	NON	NON	2	M1	Astro	907	NON
